"xtables_compatible_revision","netutils/xtables.h","","int","FAR const char *","uint8_t","int"
"xtables_find_match","netutils/xtables.h","","FAR struct xtables_match *","FAR const char *","int","FAR struct xtables_rule_match **"
"xtables_find_target","netutils/xtables.h","","FAR struct xtables_target *","FAR const char *","int"
"xtables_init_all","netutils/xtables.h","","int","FAR struct xtables_globals *","uint8_t"
"xtables_insmod","netutils/xtables.h","","int","FAR const char *","FAR const char *","bool"
"xtables_merge_options","netutils/xtables.h","","FAR struct option *","FAR struct option *","FAR struct option *","FAR const struct option *","FAR unsigned int *"
"xtables_option_mfcall","netutils/xtables.h","","void","FAR struct xtables_match *"
"xtables_option_mpcall","netutils/xtables.h","","void","unsigned int","FAR char **","int","FAR struct xtables_match *","FAR void *"
"xtables_option_tfcall","netutils/xtables.h","","void","FAR struct xtables_target *"
"xtables_option_tpcall","netutils/xtables.h","","void","unsigned int","FAR char **","int","FAR struct xtables_target *","FAR void *"
"xtables_options_xfrm","netutils/xtables.h","","FAR struct option *","FAR struct option *","FAR struct option *","FAR const struct xt_option_entry *","FAR unsigned int *"
"xtables_parse_protocol","netutils/xtables.h","","uint16_t","FAR const char *"
